"Name","GlobalID","BuildingLevel","TID","InfoTID","BuildingClass","SecondaryTargetingClass","ShopBuildingClass","SWF","ExportName","ExportNameNpc","ExportNameConstruction","ExportNameLocked","EarlyExportName","EarlyExportNameMaxTownHall","BuildTimeD","BuildTimeH","BuildTimeM","BuildTimeS","BuildResource","BuildCost","TownHallLevel","CapitalHallLevel","Width","Height","Icon","AreEdgesUnpassableByVillagers","ExportNameBuildAnim","ExportNameUpgradeAnim","AlternateExportName","AlternateUpgradeExportName","MaxStoredGold","MaxStoredElixir","MaxStoredDarkElixir","MaxStoredSourElixir","MaxStoredCommonOre","MaxStoredRareOre","MaxStoredEpicOre","MaxStoredWarGold","MaxStoredWarElixir","MaxStoredWarDarkElixir","MaxStoredGold2","MaxStoredElixir2","PercentageStoredGold","PercentageStoredElixir","PercentageStoredDarkElixir","LootOnDestruction","Bunker","Blacksmith","HeroTavern","ArmySlotType","HousingSpace","HousingSpaceAlt","HousingSpaceSiege","ProducesResource","ResourcePer100Hours","ResourceMax","ResourceIconLimit","UnitProduction","UpgradesUnitType","ProducesUnitsOfType","LevelRequirementTID","BoostCost","FreeBoost","Hitpoints","RegenTime","AttackRange","NormalModeTID","AlternateModeTID","AltAttackMode","AltAttackRange","PrepareSpeed","AttackSpeed","AltAttackSpeed","CoolDownOverride","AltCoolDownOverride","DPS","AltDPS","Damage","PreferredTarget","PreferredTargetDamageMod","RandomHitPosition","DestroyEffect","DestroyDamageEffect","AttackEffect","AttackEffect2","ChainShootingDistance","ChainAttackDistance","ChainAttackDepth","ChainAttackFactor","ChainAttackDelay","ChainAttackDamageReductionPercent","AttackEffectAlt","HitEffect","Projectile","AltProjectile","ExportNameDamagedSWF","ExportNameDamaged","BuildingW","BuildingH","BaseGfx","ExportNameBase","AirTargets","GroundTargets","MultiTargets","NumMultiTargets","MultiHitsTarget","AltAirTargets","AltGroundTargets","AltMultiTargets","AmmoCount","AmmoResource","AmmoCost","MinAttackRange","DamageRadius","Pushback","PushbackTime","PushbackHousingLimit","WallCornerPieces","LoadAmmoEffect","NoAmmoEffect","ToggleAttackModeEffect","PickUpEffect","PlacingEffect","AnimateTurret","DefenderCharacter","DefenderCount","DefenderZ","AltDefenderZ","DestructionXP","Locked","StartingHomeCount","Hidden","AOESpell","AOESpellAlternate","TriggerRadius","ExportNameTriggered","AppearEffect","ForgesSpells","ForgesMiniSpells","HousesGuardians","IsHeroBarrack","HeroType","IncreasingDamage","DPSLv2","DPSLv3","Lv2SwitchTime","Lv3SwitchTime","AttackEffectLv2","AttackEffectLv3","TransitionEffectLv2","TransitionEffectLv3","AltNumMultiTargets","PreventsHealing","StrengthWeight","AlternatePickNewTargetDelay","AltBuildResource","SpeedMod","StatusEffectTime","ShockwavePushStrength","ShockwaveArcLength","ShockwaveExpandRadius","TargetingConeAngle","AimRotateStep","PenetratingProjectile","PenetratingRadius","PenetratingExtraRange","TurnSpeed","NeedsAim","TargetGroups","TargetGroupsRadius","HitSpell","HitSpellLevel","ExportNameBeamStart","ExportNameBeamEnd","Damage2","Damage2Radius","Damage2Delay","Damage2Min","Damage2FalloffStart","Damage2FalloffEnd","HitEffect2","WakeUpSpeed","WakeUpSpace","PreAttackEffect","ShareHeroCombatData","BurstCount","BurstDelay","AltBurstCount","AltBurstDelay","DummyProjectileCount","DieDamage","DieDamageRadius","DieDamageEffect","DieDamageDelay","IsRed","VillageType","RedMul","GreenMul","BlueMul","RedAdd","GreenAdd","BlueAdd","DefenceTroopCount","DefenceTroopCharacter","DefenceTroopDynamic","DefenceTroopCharacter2","DefenceTroopLevel","AmountCanBeUpgraded","SelfAsAoeCenter","NewTargetAttackDelay","GearUpBuilding","GearUpLevelRequirement","GearUpResource","GearUpCost","GearUpTime","GearUpTID","StartUpgradeBoosterCostDivisor","ActivateCombatOnDamageTaken","ActivateAfterSeconds","ActivatedCombatAddBuildingClass","CombatActivationDelay","CombatActivationEffect","Weapon","HintPriority","UpgradeTasks","UpgradeTasksRequired","AnimationActionFrame","RandomizeTarget","SpellOnNearbyDamage","DamagePermilHp","ProjectileVariantByTargetMaxHP","DefaultProjectileVariant","PreviewScenario","PreviewScenarioUpgradePreview","PreviewScenarioUpgrading","AltPreviewScenario","CustomTargetHitBuildingInRange","UnlockWeaponMode","Stage","SecondaryTroop","SecondaryTroopCnt","SecondaryTroopLvl","SecondaryTroopAttacker","SpawnTimer","SpawnOnAttack","SummonTroopCount","HealthRecoveryPercent","MergeRequirement","ProjectileBounces","UseCustomCornerPiecesInEnds","UseCustomCornerPiecesInTurns","UseCustomCornerPiecesInTJunctions","DieSpellAttacker","MiniLevels","StatBars","RetargetAfterHit","AltModeStatBars","SpecialAbilities","SpecialAbilitiesLevel","SeasonalDefense","Animation","UseBattleIdleAnimation","Building3D","TargetingImmunitySiegeMachines","TargetingImmunityHeroes","TargetingImmunityOtherCharacters","TargetingImmunityTH_CC","TargetingImmunityStorages","TargetingImmunityWalls","TargetingImmunityOtherBuildings","TargetingImmunityTotems"
"String","int","int","String","String","String","String","String","String","String","String","String","String","String","int","int","int","int","int","String","int","int","int","int","int","String","boolean","String","String","String","String","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","boolean","boolean","boolean","boolean","String","int","int","int","String","int","int","int","int","String","int","String","int","boolean","int","int","int","String","String","boolean","int","int","int","int","int","int","int","int","int","String","int","boolean","String","String","String","String","int","int","int","int","int","int","String","String","String","String","String","String","int","int","int","String","boolean","boolean","boolean","int","boolean","boolean","boolean","boolean","int","String","int","int","int","int","int","int","String","String","String","String","String","String","boolean","String","int","int","int","int","boolean","int","boolean","String","String","int","String","String","boolean","boolean","boolean","boolean","String","boolean","int","int","int","int","String","String","String","String","int","boolean","int","int","String","int","int","int","int","int","int","int","boolean","int","int","int","boolean","boolean","int","String","int","String","String","int","int","int","int","int","int","String","int","int","String","boolean","int","int","int","int","int","int","int","String","int","boolean","int","int","int","int","int","int","int","int","String","boolean","String","int","int","boolean","int","String","int","String","int","int","String","int","int","int","String","int","String","String","int","String","int","int","boolean","String","int","String","int","String","String","String","String","boolean","String","int","String","int","int","int","int","boolean","int","int","String","int","boolean","boolean","boolean","boolean","String","String","boolean","String","String","String","boolean","String","boolean","String","boolean","boolean","boolean","boolean","boolean","boolean","boolean","boolean"
"Town Hall",1000001,1,"TID_BUILDING_TOWN_HALL","TID_TOWN_HALL_INFO","Town Hall","Resource",,"sc/buildings.sc","town_hall_lvl1","goblin_townhall_lvl1","town_hall_const",,,,0,0,0,0,"Gold",0,0,,4,4,,,"town_hall_upg",,,,1000,1000,,,,,,,,,,,,,,"TRUE",,,,,,,,,,,,,,,,,,400,20,,,,,,,,,,,,,,,,,"Town Hall Destroyed",,,,,,,,,,,,,,,"destroyedBuilding_4m_base_woodpanel_yellow",3,3,,"townhall_base",,,,,,,,,,,,,,,,,,,,,"Town Hall Pickup","Town Hall Placing",,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,"Defense",,,,100,,,,,,,,,"NoCombatBuilding",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,,,,,,,"town_hall_lvl2",,,,,,0,0,0,10,,1000,1,,,,,,,,,,2500,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"destroyedBuilding_4m_base_rockwoodpanel_yellow",,,,"townhall_base",,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,,,,,,,"town_hall_lvl3",,,,,,0,0,30,0,,4000,2,,,,,,,,,,10000,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"destroyedBuilding_4m_base_rockwoodpanel_yellow",,,,"townhall_base",,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,,,,,,,"town_hall_lvl4",,,,,,0,3,0,0,,25000,3,,,,,,,,,,50000,50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"destroyedBuilding_4m_base_rockwoodpanel_yellow",,,,"townhall_base",,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,,,,,,,"town_hall_lvl5",,,,,,0,6,0,0,,150000,4,,,,,,,,,,100000,100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"destroyedBuilding_4m_base_rockwoodpanel_yellow",,,,"townhall_base",,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,,,,,,,"town_hall_lvl6",,,,,,0,12,0,0,,500000,5,,,,,,,,,,300000,300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2800,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"destroyedBuilding_4m_base_rockwoodpanel_yellow",,,,"townhall_base",,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,,,,,,,"town_hall_lvl7",,,,,,0,18,0,0,,1000000,6,,,,,,,,,,500000,500000,2500,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,3300,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"destroyedBuilding_4m_base_rockwoodpanel_yellow",,,,"townhall_base",,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,,,,,,,"town_hall_lvl8",,,,,,1,0,0,0,,2000000,7,,,,,,,,,,750000,750000,5000,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,3900,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"destroyedBuilding_4m_base_rockwoodpanel_yellow",,,,"townhall_base",,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9,,,,,,,"town_hall_lvl9",,,,,,2,0,0,0,,2500000,8,,,,,,,,,,1000000,1000000,10000,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,4600,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"destroyedBuilding_4l_base_rockwoodpanel_grey",,,,"townhall_base",,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
